src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration_sec,packets_per_sec,bytes_per_sec,syn_count,ack_count,fin_count,rst_count,label
95.101.193.200,172.20.10.4,80,59485,TCP,1,54,0.000,1.000,54.000,0,1,1,0,normal
172.20.10.4,142.250.117.94,59483,80,TCP,2,108,0.000,8213.552,443531.828,0,2,1,0,normal
172.20.10.4,77.214.51.24,59486,80,TCP,2,108,0.000,41841.004,2259414.226,0,2,1,0,normal
51.116.246.106,172.20.10.4,443,63307,TCP,9,5546,0.000,158450.704,97640845.070,1,9,1,0,normal
172.20.10.4,172.20.10.1,56895,53,UDP,1,92,0.000,1.000,92.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,56895,UDP,1,224,0.000,1.000,224.000,0,0,0,0,normal
142.250.117.94,172.20.10.4,80,59483,TCP,1,54,0.000,1.000,54.000,0,1,1,0,normal
fe80::f871:a6ff:fecc:2464,fe80::8ae0:16c6:8a25:e6dd,53,56895,UDP,1,244,0.000,1.000,244.000,0,0,0,0,normal
140.82.114.22,172.20.10.4,443,51494,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
142.250.117.138,172.20.10.4,443,62874,UDP,6,4151,0.000,156657.963,108381201.044,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,57299,UDP,1,107,0.000,1.000,107.000,0,0,0,0,normal
34.8.7.18,172.20.10.4,443,49535,TCP,2,120,7.684,0.260,15.616,0,2,1,0,normal
142.250.129.83,172.20.10.4,443,55601,TCP,13,2555,21.491,0.605,118.888,0,13,0,0,normal
172.20.10.1,172.20.10.4,53,61649,UDP,1,141,0.000,1.000,141.000,0,0,0,0,normal
172.20.10.4,142.250.117.138,62874,443,UDP,6,2970,0.000,132450.331,65562913.907,0,0,0,0,normal
172.20.10.4,142.251.30.95,54341,443,UDP,9,3698,0.411,21.875,8988.213,0,0,0,0,normal
172.20.10.4,172.20.10.1,58382,53,UDP,1,85,0.000,1.000,85.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,56641,UDP,1,99,0.000,1.000,99.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,56641,53,UDP,1,74,0.000,1.000,74.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,57299,53,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,56225,UDP,1,171,0.000,1.000,171.000,0,0,0,0,normal
142.251.30.95,172.20.10.4,443,54341,UDP,11,4670,0.000,322580.645,136950146.628,0,0,0,0,normal
172.20.10.4,172.20.10.1,58813,53,UDP,1,75,0.000,1.000,75.000,0,0,0,0,normal
34.8.7.18,172.20.10.4,443,55093,TCP,5,1112,1.013,4.935,1097.648,1,5,0,0,normal
172.20.10.4,172.20.10.1,63815,53,UDP,1,75,0.000,1.000,75.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,58341,53,UDP,1,74,0.000,1.000,74.000,0,0,0,0,normal
172.20.10.4,34.8.7.18,49535,443,TCP,3,163,7.684,0.390,21.212,0,3,1,0,normal
172.20.10.1,172.20.10.4,53,58813,UDP,1,125,0.000,1.000,125.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,50252,53,UDP,1,85,0.000,1.000,85.000,0,0,0,0,normal
142.250.151.94,172.20.10.4,443,51136,UDP,9,4852,0.317,28.402,15312.041,0,0,0,0,normal
192.178.223.95,172.20.10.4,443,63544,TCP,4,228,29.697,0.135,7.678,0,4,1,0,normal
172.20.10.1,172.20.10.4,53,50252,UDP,1,144,0.000,1.000,144.000,0,0,0,0,normal
172.20.10.4,142.250.129.83,55601,443,TCP,11,5250,21.491,0.512,244.290,0,11,0,0,normal
172.20.10.1,172.20.10.4,53,58382,UDP,1,101,0.000,1.000,101.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,59377,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
34.8.7.18,172.20.10.4,443,49629,UDP,8,3747,1.013,7.897,3698.586,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,64596,UDP,1,180,0.000,1.000,180.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,63815,UDP,1,132,0.000,1.000,132.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,56735,UDP,1,250,0.000,1.000,250.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,56225,53,UDP,1,75,0.000,1.000,75.000,0,0,0,0,normal
172.20.10.4,34.8.7.18,55093,443,TCP,6,2523,1.013,5.923,2490.412,1,5,0,0,normal
172.20.10.1,172.20.10.4,53,58341,UDP,1,170,0.000,1.000,170.000,0,0,0,0,normal
172.20.10.4,34.8.7.18,49629,443,UDP,7,4177,1.013,6.910,4123.004,0,0,0,0,normal
172.20.10.4,172.20.10.1,59377,53,UDP,1,75,0.000,1.000,75.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,56735,53,UDP,1,82,0.000,1.000,82.000,0,0,0,0,normal
172.20.10.4,142.250.151.94,51136,443,UDP,8,5265,0.317,25.243,16613.193,0,0,0,0,normal
172.20.10.4,172.20.10.1,61649,53,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,64596,53,UDP,1,82,0.000,1.000,82.000,0,0,0,0,normal
172.20.10.4,192.178.223.95,63544,443,TCP,4,241,29.697,0.135,8.115,0,4,1,0,normal
15.197.213.252,172.20.10.4,443,63526,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
13.69.116.109,172.20.10.4,443,63790,TCP,1,54,0.000,1.000,54.000,0,1,1,0,normal
172.20.10.4,13.69.116.109,63790,443,TCP,2,108,0.000,87336.245,4716157.205,0,2,1,0,normal
172.20.10.4,142.250.140.95,63545,443,TCP,9,590,59.938,0.150,9.843,0,9,1,0,normal
77.214.51.8,172.20.10.4,443,51549,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
142.250.140.95,172.20.10.4,443,63545,TCP,8,534,59.938,0.133,8.909,0,8,1,0,normal
172.20.10.4,15.197.213.252,63526,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
77.214.51.19,172.20.10.4,443,51553,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
77.214.51.19,172.20.10.4,443,51544,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
172.20.10.1,172.20.10.4,53,64146,UDP,1,132,0.000,1.000,132.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,57492,UDP,1,164,0.000,1.000,164.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,57492,53,UDP,1,83,0.000,1.000,83.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,54754,UDP,1,246,0.000,1.000,246.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,50712,53,UDP,1,78,0.000,1.000,78.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,58302,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.4,199.232.41.55,63937,443,TCP,11,4695,1.069,10.292,4392.828,1,10,0,0,normal
172.20.10.4,172.20.10.1,51140,53,UDP,1,83,0.000,1.000,83.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,50712,UDP,1,176,0.000,1.000,176.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,51140,UDP,1,211,0.000,1.000,211.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,59346,53,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,60932,53,UDP,1,83,0.000,1.000,83.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,60932,UDP,1,164,0.000,1.000,164.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,59508,UDP,1,203,0.000,1.000,203.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,54754,53,UDP,1,78,0.000,1.000,78.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,62858,UDP,1,133,0.000,1.000,133.000,0,0,0,0,normal
107.22.13.228,172.20.10.4,443,58699,TCP,13,5004,0.000,168612.192,64902723.735,1,13,0,0,normal
172.20.10.1,172.20.10.4,53,55179,UDP,1,211,0.000,1.000,211.000,0,0,0,0,normal
142.250.140.95,172.20.10.4,443,57430,UDP,19,6839,1.012,18.770,6756.308,0,0,0,0,normal
172.20.10.4,172.20.10.1,65122,53,UDP,1,96,0.000,1.000,96.000,0,0,0,0,normal
142.250.140.95,172.20.10.4,443,64164,UDP,20,6697,1.308,15.296,5121.818,0,0,0,0,normal
172.20.10.4,142.250.140.95,64164,443,UDP,16,5608,1.308,12.236,4288.881,0,0,0,0,normal
172.20.10.4,172.20.10.1,55179,53,UDP,1,83,0.000,1.000,83.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,59508,53,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,63227,UDP,1,175,0.000,1.000,175.000,0,0,0,0,normal
172.20.10.4,107.22.13.228,58699,443,TCP,14,4988,0.000,157303.371,56044943.820,1,13,0,0,normal
172.20.10.1,172.20.10.4,53,63577,UDP,1,146,0.000,1.000,146.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,65122,UDP,1,112,0.000,1.000,112.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,58302,53,UDP,1,75,0.000,1.000,75.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,64146,53,UDP,1,75,0.000,1.000,75.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,63577,53,UDP,1,96,0.000,1.000,96.000,0,0,0,0,normal
172.20.10.4,142.250.140.95,57430,443,UDP,16,7248,1.012,15.807,7160.719,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,59346,UDP,1,148,0.000,1.000,148.000,0,0,0,0,normal
199.232.41.55,172.20.10.4,443,63937,TCP,12,2509,1.069,11.228,2347.599,1,12,0,0,normal
172.20.10.4,172.20.10.1,62858,53,UDP,1,80,0.000,1.000,80.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,63227,53,UDP,1,80,0.000,1.000,80.000,0,0,0,0,normal
77.214.51.19,172.20.10.4,443,63924,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
172.20.10.1,172.20.10.4,53,59713,UDP,1,153,0.000,1.000,153.000,0,0,0,0,normal
172.20.10.4,52.123.129.14,50727,443,TCP,11,2233,1.006,10.930,2218.885,1,10,0,0,normal
172.20.10.1,172.20.10.4,53,52899,UDP,1,151,0.000,1.000,151.000,0,0,0,0,normal
fe80::8ae0:16c6:8a25:e6dd,fe80::f871:a6ff:fecc:2464,0,0,IP,3,258,25.664,0.117,10.053,0,0,0,0,normal
77.214.51.19,172.20.10.4,443,63925,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
172.20.10.4,172.20.10.1,52899,53,UDP,1,78,0.000,1.000,78.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,63616,UDP,1,201,0.000,1.000,201.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,62108,53,UDP,1,83,0.000,1.000,83.000,0,0,0,0,normal
172.20.10.4,142.251.29.102,60436,443,UDP,9,5558,0.000,84985.836,52483474.976,0,0,0,0,normal
172.20.10.4,13.248.234.20,50726,443,TCP,14,4713,1.215,11.523,3879.123,1,13,0,0,normal
13.248.234.20,172.20.10.4,443,50726,TCP,18,7029,1.215,14.816,5785.608,1,18,0,0,normal
172.20.10.4,172.20.10.1,62104,53,UDP,1,83,0.000,1.000,83.000,0,0,0,0,normal
172.20.10.4,107.22.13.228,51433,443,TCP,12,3962,0.209,57.487,18980.314,1,11,0,0,normal
107.22.13.228,172.20.10.4,443,51433,TCP,12,4554,0.209,57.470,21809.791,1,12,0,0,normal
172.20.10.4,135.225.243.52,55434,443,TCP,2,159,0.000,26702.270,2122830.441,0,2,0,0,normal
172.20.10.1,172.20.10.4,53,50425,UDP,1,199,0.000,1.000,199.000,0,0,0,0,normal
135.225.243.52,172.20.10.4,443,55434,TCP,1,94,0.000,1.000,94.000,0,1,0,0,normal
172.20.10.4,172.20.10.1,59713,53,UDP,1,79,0.000,1.000,79.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,62108,UDP,1,164,0.000,1.000,164.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,62104,UDP,1,211,0.000,1.000,211.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,50425,53,UDP,1,79,0.000,1.000,79.000,0,0,0,0,normal
142.251.29.102,172.20.10.4,443,60436,UDP,12,5429,0.000,160427.807,72580213.904,0,0,0,0,normal
52.123.129.14,172.20.10.4,443,50727,TCP,16,15181,1.006,15.899,15085.082,1,16,0,0,normal
fe80::f871:a6ff:fecc:2464,fe80::8ae0:16c6:8a25:e6dd,0,0,IP,3,250,25.664,0.117,9.741,0,0,0,0,normal
172.20.10.4,172.20.10.1,63616,53,UDP,1,78,0.000,1.000,78.000,0,0,0,0,normal
172.20.10.4,192.178.223.188,53560,5228,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
172.20.10.1,172.20.10.4,53,60282,UDP,1,107,0.000,1.000,107.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,60282,53,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.4,185.199.110.154,52227,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
172.20.10.1,172.20.10.4,53,60953,UDP,1,164,0.000,1.000,164.000,0,0,0,0,normal
192.178.223.188,172.20.10.4,5228,53560,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
185.199.110.154,172.20.10.4,443,52227,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
172.20.10.4,172.20.10.1,60953,53,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.4,68.219.99.63,65326,443,TCP,12,5303,0.888,13.507,5969.111,1,11,0,0,normal
172.20.10.4,172.20.10.1,56240,53,UDP,1,78,0.000,1.000,78.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,60382,53,UDP,1,97,0.000,1.000,97.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,51148,UDP,1,158,0.000,1.000,158.000,0,0,0,0,normal
fe80::f871:a6ff:fecc:2464,ff02::1,0,0,IP,1,134,0.000,1.000,134.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,52872,UDP,1,189,0.000,1.000,189.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,60382,UDP,1,195,0.000,1.000,195.000,0,0,0,0,normal
68.219.99.63,172.20.10.4,443,65326,TCP,17,9761,0.888,19.136,10987.415,1,17,0,0,normal
172.20.10.4,172.20.10.1,58351,53,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,56240,UDP,1,294,0.000,1.000,294.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,58351,UDP,1,259,0.000,1.000,259.000,0,0,0,0,normal
68.219.99.63,172.20.10.4,443,51516,TCP,10,6000,0.483,20.722,12433.012,1,10,0,0,normal
172.20.10.4,172.20.10.1,55831,53,UDP,1,97,0.000,1.000,97.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,50471,53,UDP,1,78,0.000,1.000,78.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,50471,UDP,1,322,0.000,1.000,322.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,49558,UDP,1,203,0.000,1.000,203.000,0,0,0,0,normal
172.20.10.4,68.219.99.63,51516,443,TCP,8,2297,0.483,16.575,4759.040,1,7,0,0,normal
172.20.10.4,172.20.10.1,52872,53,UDP,1,91,0.000,1.000,91.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,55831,UDP,1,265,0.000,1.000,265.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,49558,53,UDP,1,81,0.000,1.000,81.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,51148,53,UDP,1,81,0.000,1.000,81.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,65167,UDP,1,186,0.000,1.000,186.000,0,0,0,0,normal
172.20.10.4,20.171.240.180,60225,443,TCP,5,330,14.722,0.340,22.416,5,0,0,0,normal
20.50.73.11,172.20.10.4,443,63306,TCP,1,54,0.000,1.000,54.000,0,1,1,0,normal
172.20.10.4,172.20.10.1,62167,53,UDP,1,101,0.000,1.000,101.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,59216,UDP,1,256,0.000,1.000,256.000,0,0,0,0,normal
172.20.10.4,142.250.151.94,53094,443,UDP,10,4008,24.782,0.404,161.733,0,0,0,0,normal
172.20.10.4,172.20.10.1,50448,53,UDP,1,97,0.000,1.000,97.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,62167,UDP,1,269,0.000,1.000,269.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,59216,53,UDP,1,88,0.000,1.000,88.000,0,0,0,0,normal
172.20.10.4,68.219.99.63,61379,443,TCP,13,5346,1.015,12.811,5268.277,1,12,0,0,normal
172.20.10.1,172.20.10.4,53,63008,UDP,1,133,0.000,1.000,133.000,0,0,0,0,normal
172.20.10.4,13.107.213.44,55121,443,TCP,8,3522,5.085,1.573,692.565,1,7,0,0,normal
68.219.99.63,172.20.10.4,443,61379,TCP,15,9095,1.015,14.782,8963.101,1,15,0,0,normal
172.20.10.4,172.20.10.1,60918,53,UDP,1,97,0.000,1.000,97.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,50448,UDP,1,265,0.000,1.000,265.000,0,0,0,0,normal
172.20.10.4,142.251.30.95,52192,443,UDP,12,6455,23.488,0.511,274.816,0,0,0,0,normal
172.20.10.4,172.20.10.1,49795,53,UDP,1,101,0.000,1.000,101.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,63008,53,UDP,1,80,0.000,1.000,80.000,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,63273,UDP,1,175,0.000,1.000,175.000,0,0,0,0,normal
172.20.10.4,20.50.73.11,63306,443,TCP,2,108,0.000,206185.567,11134020.619,0,2,1,0,normal
142.250.151.94,172.20.10.4,443,53094,UDP,12,5141,24.977,0.480,205.829,0,0,0,0,normal
172.20.10.4,172.20.10.1,63273,53,UDP,1,80,0.000,1.000,80.000,0,0,0,0,normal
172.20.10.4,20.171.240.180,61756,443,TCP,5,330,14.586,0.343,22.625,5,0,0,0,normal
142.251.30.95,172.20.10.4,443,52192,UDP,16,6866,23.578,0.679,291.202,0,0,0,0,normal
172.20.10.1,172.20.10.4,53,49795,UDP,1,199,0.000,1.000,199.000,0,0,0,0,normal
13.107.213.44,172.20.10.4,443,55121,TCP,9,1003,5.085,1.770,197.230,1,9,1,0,normal
172.20.10.1,172.20.10.4,53,60918,UDP,1,195,0.000,1.000,195.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,65167,53,UDP,1,88,0.000,1.000,88.000,0,0,0,0,normal
172.20.10.4,199.232.41.55,52809,443,TCP,13,5383,5.602,2.320,960.830,1,12,0,0,normal
172.20.10.1,172.20.10.4,53,59709,UDP,1,152,0.000,1.000,152.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,59709,53,UDP,1,95,0.000,1.000,95.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,63225,53,UDP,1,95,0.000,1.000,95.000,0,0,0,0,normal
216.239.32.223,172.20.10.4,443,65202,UDP,19,7221,1.541,12.334,4687.384,0,0,0,0,normal
172.20.10.4,216.239.32.223,65202,443,UDP,14,5753,1.541,9.088,3734.442,0,0,0,0,normal
172.20.10.4,68.219.99.63,59354,443,TCP,12,3504,6.811,1.762,514.459,1,11,0,0,normal
172.20.10.1,172.20.10.4,53,63225,UDP,1,159,0.000,1.000,159.000,0,0,0,0,normal
199.232.41.55,172.20.10.4,443,52809,TCP,14,2707,5.531,2.531,489.414,1,14,0,0,normal
68.219.99.63,172.20.10.4,443,59354,TCP,15,7779,6.811,2.202,1142.118,1,15,0,0,normal
140.82.121.4,172.20.10.4,443,52812,TCP,18,5599,0.990,18.183,5656.019,1,17,1,1,normal
172.20.10.4,140.82.112.22,63295,443,TCP,3,163,26.625,0.113,6.122,0,3,1,1,normal
142.250.129.83,172.20.10.4,443,55601,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
fe80::f871:a6ff:fecc:2464,fe80::8ae0:16c6:8a25:e6dd,53,51376,UDP,1,292,0.000,1.000,292.000,0,0,0,0,normal
172.20.10.4,15.197.213.252,64565,443,TCP,1,54,0.000,1.000,54.000,0,1,0,0,normal
fe80::8ae0:16c6:8a25:e6dd,fe80::f871:a6ff:fecc:2464,53498,53,UDP,1,112,0.000,1.000,112.000,0,0,0,0,normal
172.20.10.4,34.8.7.18,54781,443,UDP,10,4800,5.789,1.727,829.130,0,0,0,0,normal
34.8.7.18,172.20.10.4,443,55093,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
68.219.99.63,172.20.10.4,443,54542,TCP,432,363308,33.440,12.919,10864.557,1,432,0,0,normal
172.20.10.4,142.250.129.83,55601,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
34.8.7.18,172.20.10.4,443,54781,UDP,11,3985,6.398,1.719,622.823,0,0,0,0,normal
fe80::f871:a6ff:fecc:2464,fe80::8ae0:16c6:8a25:e6dd,53,63169,UDP,1,347,0.000,1.000,347.000,0,0,0,0,normal
fe80::8ae0:16c6:8a25:e6dd,fe80::f871:a6ff:fecc:2464,51376,53,UDP,1,110,0.000,1.000,110.000,0,0,0,0,normal
140.82.112.22,172.20.10.4,443,63295,TCP,3,198,26.625,0.113,7.437,0,3,1,0,normal
52.182.143.208,172.20.10.4,443,63538,TCP,2,120,21.603,0.093,5.555,0,2,1,0,normal
142.251.29.102,172.20.10.4,443,63898,UDP,15,7004,1.015,14.782,6902.414,0,0,0,0,normal
fe80::f871:a6ff:fecc:2464,fe80::8ae0:16c6:8a25:e6dd,53,53498,UDP,1,280,0.000,1.000,280.000,0,0,0,0,normal
172.20.10.4,140.82.121.4,52812,443,TCP,15,3222,0.990,15.153,3254.828,1,14,1,1,normal
172.20.10.4,142.251.29.102,63898,443,UDP,11,7983,1.015,10.840,7867.173,0,0,0,0,normal
172.20.10.4,68.219.99.63,54542,443,TCP,280,249296,33.440,8.373,7455.080,1,279,0,0,normal
172.20.10.4,34.8.7.18,55093,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
fe80::f871:a6ff:fecc:2464,fe80::8ae0:16c6:8a25:e6dd,53,49345,UDP,1,235,0.000,1.000,235.000,0,0,0,0,normal
